id,title,category,price,unit_type,posted_at,availability,address,description,image_urls,shop_id,shop_name,images
13411,dưa chuột chuột sạch an toàn,Trái cây tươi,10000,Kg,26/08/2022,Còn hàng,Lạng Phong-Nho Quan - Ninh Bình,"\*\ Chi\ tiết\ sản\ phẩm:\
\
\-\ Xuất\ xứ:\ Hợp\ tác\ xã\ sản\ xuất,\ tiêu\ thụ\ nông\ sản\ an\ toàn\ Lạng\ Phong\
\
\-\ Sản\ lượng\ sản\ xuất:\ 180000kg/năm\
\
\*\ Đặc\ tính:\ \
\
\-\ Dưa\ chuột\ là\ loại\ quả\ chứa\ nhiều\ dưỡng\ chất\ quan\ trọng\ cho\ sự\ phát\ triển\ của\ sức\ khỏe\ con\ người\.\
\
\-\ Dưa\ chuột\ là\ món\ ăn\ ngon\ trong\ thực\ đơn\ hàng\ ngày\ của\ chúng\ ta\.\
\
\-\ Ngoài\ chức\ năng\ là\ thực\ phẩm\ bổ\ dưỡng\ thì\ dưa\ chuột\ còn\ biết\ đến\ với\ nhiều\ công\ dụng\ làm\ đẹp,\ là\ thuốc\ chữa\ bệnh\ rất\ an\ toàn\ mà\ lại\ hiệu\ quả\ cho\ con\ người\.\ Bạn\ có\ thể\ tham\ khảo\ bài\ viết\ của\ tôi\ để\ tận\ dụng\ tốt\ nhất\ hiệu\ quả\ của\ nó\.\
\
\-\ Lợi\ ích\ từ\ dưa\ chuột\
\
\+\ Cải\ thiện\ tim\ mạch\
\
\+\ Bổ\ sung\ kali\
\
\+\ Hồi\ phục\ thị\ giác\
\
\+\ Ngăn\ phòng\ ngừa\ ung\ thư\
\
\+\ Ổn\ định\ huyết\ áp\
\
\+\ Làm\ cho\ sạch\ miệng\
\
\+\ Bù\ nước\ và\ bổ\ sung\ vitamin\ cho\ cơ\ thể\.\.\.\.\
\
\-\ Sản\ phẩm\ được\ bày\ bán\ tại:\ Siêu\ thị\ Minh\ Cầu\.",https://vidas.vn/static/media/images/save_tem/2900069.jpg,3168,"nông sản sạch dưa chuột, rau các loại","[{'url': 'https://vidas.vn/static/media/images/save_tem/2900069.jpg', 'path': 'full/6ac064c305d09b072f34d147fdcda8e5e3c88114.jpg', 'checksum': '88c9d0210db16fea230d7ba3ab0a2344', 'status': 'uptodate'}]"
13253,Dưa leo,Rau ăn quả,20000,kg,02/07/2021,Còn hàng,Bình Thủy-Bình Thuỷ - Cần Thơ,Dưa\ leo,"https://vidas.vn/static/media/images/save_tem/hat-giong-dua-chuot-nep-ta4-320x291w.jpg,https://vidas.vn/static/media/images/save_tem/dua-leo-op-04-1.jpg,https://vidas.vn/static/media/images/save_tem/29089980_172994220177125_7297978536390819840_n_60107a9ff28f45ae908a56e252b056a9.jpg",2936,Cửa Hàng Vật tư Nông Nghiệp M&A,"[{'url': 'https://vidas.vn/static/media/images/save_tem/hat-giong-dua-chuot-nep-ta4-320x291w.jpg', 'path': 'full/6d1263dbdb4e76beb8f218e69541dfc605687f94.jpg', 'checksum': '9d957e3e7638274d0719f733ddf1ba32', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/dua-leo-op-04-1.jpg', 'path': 'full/d885cfa24b71510ed005b73fb7838f1038418d3b.jpg', 'checksum': 'a90c0ff8c98752aef96cb0c3027d19de', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/29089980_172994220177125_7297978536390819840_n_60107a9ff28f45ae908a56e252b056a9.jpg', 'path': 'full/f27f49c58a02bc27c7be41ce86e4653001393996.jpg', 'checksum': '30903d7c6e45de8cc34e79b32fdd3659', 'status': 'uptodate'}]"
13046,Dâu tây Xuân Quế,Trái cây tươi,90000,250 Gram,23/10/2020,Còn hàng,Hoàng Văn Thụ-Hoàng Mai - Hà Nội,"Dâu\ tây\ Xuân\ Quế\ là\ sản\ phẩm\ của\ HTX\ dâu\ tây\ Xuân\ Quế\ ở\ bản\ Xuân\ Quế,\ xã\ Cò\ Nòi,\ huyện\ Mai\ Sơn,\ tỉnh\ Sơn\ La\.\ \
\
Dâu\ Tây\ Xuân\ Quế\ được\ trồng\ ở\ vùng\ đất\ có\ thổ\ nhưỡng,\ và\ khí\ hậu\ tuyệt\ vời,\ phù\ hợp\ trái\ dâu\ tây\.\
\
Dâu\ tây\ Xuân\ Quế\ sản\ xuất\ tuân\ thủ\ nghiêm\ ngặt\ theo\ chuẩn\ Vietgap\.\
\
Quy\ cách\ đóng\ gói:\ gói\ 250\ gram","https://vidas.vn/static/media/images/save_tem/IMG_20201023_104734.jpg,https://vidas.vn/static/media/images/save_tem/IMG_20201023_104747.jpg,https://vidas.vn/static/media/images/save_tem/IMG_20201023_104730.jpg,https://vidas.vn/static/media/images/save_tem/IMG_20201023_104723.jpg",2827,Nông sản an toàn Vietharvest,"[{'url': 'https://vidas.vn/static/media/images/save_tem/IMG_20201023_104734.jpg', 'path': 'full/7a9062604bd2ed2c9fec60e79ba8d8e89c363790.jpg', 'checksum': 'a7c7f3d0ea20f2951ca88ccd4f89fbf8', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/IMG_20201023_104747.jpg', 'path': 'full/c6a10cef163b469b4490e852b592a9d8576eb0ce.jpg', 'checksum': 'a4b9699bfa397458b3c3c320e24b21f6', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/IMG_20201023_104730.jpg', 'path': 'full/8eacfc82d6e3e286ca3d7ef99b9a220c9bcd3c49.jpg', 'checksum': '78a3e522e6e471fe0eda86628ba3d4a2', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/IMG_20201023_104723.jpg', 'path': 'full/f402b683afd944b1eae8168f82c447958c151dc4.jpg', 'checksum': '8f8a289568e51520421f79d120bf3ff4', 'status': 'uptodate'}]"
12967,"Spaghetti Việt, bịch 250g thương hiệu Caromi - Đặc sản, Không béo, Không gluten, ăn kiêng chay được",Thực phẩm chế biến sẵn,24000,túi,15/09/2020,Còn hàng,Hoà Xuân-Cẩm Lệ - Đà nẵng,"Được\ làm\ àm\ hoàn\ toàn\ từ\ củ\ sắn\ \(củ\ khoai\ mì\)\ không\ phụ\ gia\ không\ chất\ bảo\ quản\.\ Bắt\ nguồn\ từ\ làng\ nghề\ có\ gần\ 100\ năm\ tuổi,\ trải\ qua\ những\ năm\ chiến\ tranh\ gần\ như\ đã\ mai\ một,\ cho\ đến\ năm\ 1996\ tiền\ thân\ của\ Caromi\ đã\ chính\ thức\ hồi\ sinh\ lại\ nghề\ phở\ sắn\.\ Qua\ bàn\ tay\ khéo\ léo\ và\ những\ cải\ tiến\ không\ ngừng\ để\ làm\ ra\ những\ sợi\ phở\ sạch\ và\ ngon\ hơn\ mà\ vẫn\ giữ\ trọn\ sự\ nguyên\ chất\ \&\ hương\ vị\ đặc\ trưng\ thủa\ ban\ đầu\.\ Sợi\ phở\ có\ màu\ vàng\ nhạt,\ mùi\ thơm\ dịu\ tự\ nhiên\.\ Chỉ\ cần\ ngâm\ vào\ nước\ sạch\ trong\ 7\ phút,\ vớt\ ra\ để\ ráo\ nước\ cho\ mềm\.\ Lúc\ này,\ sợi\ phở\ hơi\ giòn,\ dai,\ dễ\ thấm\ gia\ vị\ sẵn\ sàng\ làm\ các\ món\.","https://vidas.vn/static/media/images/save_tem/Spaghetti Viet 1.png,https://vidas.vn/static/media/images/save_tem/Spaghetti Viet 2.png,https://vidas.vn/static/media/images/save_tem/2. Gỏi phở sắn cung đình.jpg,https://vidas.vn/static/media/images/product/16323009421667790347.png,https://vidas.vn/static/media/images/product/11739650821667790362.png,https://vidas.vn/static/media/images/save_tem/Spaghetti Việt 02.jpg,https://vidas.vn/static/media/images/save_tem/Spaghetti Việt 01.jpg",344,Phở Sắn Caromi,"[{'url': 'https://vidas.vn/static/media/images/save_tem/Spaghetti%20Viet%201.png', 'path': 'full/c6881eb045828b9a6f8a152ef5b62c70eaf75e1d.jpg', 'checksum': '9c7ef509465eac0fe26fcdbdde66a554', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/Spaghetti%20Viet%202.png', 'path': 'full/1aa4330b555008af3c9a665a453ca179bda9fc71.jpg', 'checksum': '01644934923c918351d220015c06e590', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/2.%20G%E1%BB%8Fi%20ph%E1%BB%9F%20s%E1%BA%AFn%20cung%20%C4%91%C3%ACnh.jpg', 'path': 'full/af833face96184289155bf300936763251934bd6.jpg', 'checksum': 'c2c0ed6896bc5248942648c6199a0315', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/product/16323009421667790347.png', 'path': 'full/511c5b741999dc1dd6aba8fac529c0f9b0b0524d.jpg', 'checksum': '983c7963a832823a74bd9b80ff004d85', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/product/11739650821667790362.png', 'path': 'full/f04cabf92c35af72fda59bdc3e24a44105285381.jpg', 'checksum': 'f4f4c8e41631ee4a3e0ade8465bffb82', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/Spaghetti%20Vi%E1%BB%87t%2002.jpg', 'path': 'full/808374aa2fc714b67714d87ab6d2a520d4b94b8b.jpg', 'checksum': 'c14aff1fe21f0d1396664c06f71ae67c', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/save_tem/Spaghetti%20Vi%E1%BB%87t%2001.jpg', 'path': 'full/b08578a209549c054fe766d03581e43179f27db8.jpg', 'checksum': '9c868ff525d40a2a9c8ef84d8608df4b', 'status': 'uptodate'}]"
12780,TẦM BÓP NAM MỸ,Trái cây tươi,60000,Hộp,28/04/2020,Còn hàng,Phước Lộc-Nhà Bè - Hồ Chí Minh,"Tầm\ bóp\ Nam\ Mỹ\ có\ tên\ khoa\ học\ là\ Physalis\ Peruviana\ có\ nguồn\ gốc\ từ\ dải\ núi\ Andes,\ Nam\ Mỹ,\ cùng\ họ\ với\ Cà\ chua,\ kích\ thước\ trái\ nhỏ\ như\ cà\ chua\ bi\ và\ có\ vỏ\ bao\ bảo\ vệ\ tự\ nhiên\ trùm\ ở\ ngoài\.\
\
\
\
Lợi\ ích\ khi\ sử\ dụng\ tầm\ bóp\ hàng\ ngày:\
\
✅Giúp\ người\ mang\ thai\ khỏe\ mạnh\
\
✅Cải\ thiện\ chức\ năng\ tim\ mạch\.\
\
✅Chống\ oxy\ hóa\.\
\
✅Bảo\ vệ\ gan\ và\ thận\ chống\ xơ\ hóa\.\
\
✅Giúp\ giảm\ đau\ và\ viêm\ khớp\
\
✅Tăng\ cường\ khả\ năng\ nhận\ thức\ ở\ người\ trẻ,\ tăng\ trí\ nhớ,\ tập\ trung\
\
✅Cải\ thiện\ thị\ giác\
\
✅Đặc\ biệt,\ sau\ khi\ ăn\ các\ thức\ ăn\ có\ mùi\ tanh,\ Tầm\ Bóp\ Nam\ Mỹ\ sẽ\ giúp\ khử\ sạch\ mùi\ tanh\ và\ làm\ vòm\ họng\ trở\ nên\ sạch\ sẽ\.","https://vidas.vn/static/media/images/shop/physalis-peruniava-0-1588043930.jpg,https://vidas.vn/static/media/images/shop/cb546080aa75532b0a64-1588043968.jpg,https://vidas.vn/static/media/images/shop/702438175041004634937364235109986063089664o-1588043978.jpg,https://vidas.vn/static/media/images/shop/physalis-peruniava-11-1588043990.jpg",2154,MỤC ĐỒNG FOODS,"[{'url': 'https://vidas.vn/static/media/images/shop/physalis-peruniava-0-1588043930.jpg', 'path': 'full/8a6466203921694fd1e6f6b013ba3944dceea0d4.jpg', 'checksum': '5869307c3ce55cf4a1ebda0aebf16dfc', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/cb546080aa75532b0a64-1588043968.jpg', 'path': 'full/73b45b294996460ac94072dd0a839e1b4dc9e40a.jpg', 'checksum': 'ff7e28b1aa991a5c997ca31e1a729b37', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/702438175041004634937364235109986063089664o-1588043978.jpg', 'path': 'full/b50e70fcbb0ce930c2f33992ca2bddb4b42e353c.jpg', 'checksum': '19abbcc6ea0c8665e6253227f3c723fa', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/physalis-peruniava-11-1588043990.jpg', 'path': 'full/8f6e4cf7442f2207b025eb57e7e686e8fdad681d.jpg', 'checksum': 'efa057c896118bbb4e37cb2150ddca76', 'status': 'uptodate'}]"
12519,BƠ SÁP DA XANH,"Rau, củ, quả",75000,kg,03/03/2020,Còn hàng,Xuân Mỹ-Cẩm Mỹ - Đồng Nai,"Chuyên\ cung\ cấp\ bơ\ sáp\ da\ xanh\ các\ loại,\ sử\ dụng\ hữu\ cơ\ 100%\ ,\ cây\ bơ\ được\ trồng\ tại\ vùng\ đất\ đỏ\ bazan\ ở\ miền\ đông\ nam\ bộ,\ đảm\ bảo\ chất\ lượng\ luôn\ làm\ hài\ lòng\ các\ anh\ chị,\ chú\ bác\.","https://vidas.vn/static/media/images/shop/img20180617084020---copy-1583223506.jpg,https://vidas.vn/static/media/images/shop/img20180617084020-1583223506.jpg,https://vidas.vn/static/media/images/shop/img20180715174033-1583223533.jpg,https://vidas.vn/static/media/images/shop/img20180611121327-1583223534.jpg,https://vidas.vn/static/media/images/shop/img20190404101821-1583223536.jpg",2317,BƠ SÁP DA XANH,"[{'url': 'https://vidas.vn/static/media/images/shop/img20180617084020---copy-1583223506.jpg', 'path': 'full/f00e5b8f5d595b137d662da67d98d81af74bf899.jpg', 'checksum': 'e48dd3593d819753a89c5002725ada81', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/img20180617084020-1583223506.jpg', 'path': 'full/8fe934df2372289af103979d29660b36e201daca.jpg', 'checksum': 'd0193a5bd168d484e58ebdd701b0d730', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/img20180715174033-1583223533.jpg', 'path': 'full/ff85dd19d01f79571d7d6e4f5c2b2cce2af6b7f1.jpg', 'checksum': '4d713eae1895ef138f1281795fed247b', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/img20180611121327-1583223534.jpg', 'path': 'full/3abe5148ff77257c42469a797514ce17bf384ef4.jpg', 'checksum': '87b1f1bd07ba7b15ef0fab66cd7ef35a', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/img20190404101821-1583223536.jpg', 'path': 'full/36e64c61d7b21d59262e9ffa7b603da9ee201c3d.jpg', 'checksum': '6e90f6e8f5ab084549cdeaa5775b9c41', 'status': 'uptodate'}]"
12298,Xà lách xoong Nhật,Rau ăn lá,47000,gr,02/10/2019,Còn hàng,Bình Ngọc-Tuy Hòa - Phú Yên,"Xà\ lách\ xoong\ Nhật\ được\ trồng\ và\ chăm\ sóc\ trong\ nông\ trại\ hữu\ cơ;\
\
Sản\ phẩm\ phù\ hợp\ cho\ các\ bữa\ cơm\ gia\ đình\ và\ cho\ mọi\ lứa\ tuổi",https://vidas.vn/static/media/images/shop/xa-lach-nhat-1570002033.jpg,1950,Ogranic Farm,"[{'url': 'https://vidas.vn/static/media/images/shop/xa-lach-nhat-1570002033.jpg', 'path': 'full/532cd5df55823bc7217cdd37def23295d6d3da99.jpg', 'checksum': 'c948eba677b3dc17fb7dd668dea80543', 'status': 'uptodate'}]"
12297,Măng tây sấy khô ăn liền,Rau ăn thân,115000,gr,02/10/2019,Còn hàng,Bình Ngọc-Tuy Hòa - Phú Yên,"Thân\ măng\ tây\ được\ sấy\ khô\ qua\ hệ\ thống\ sấy\ lạnh;\ sản\ phẩm\ hoàn\ toàn\ tự\ nhiên\ không\ bổ\ sung\ bất\ kỳ\ thành\ phần\ nào\.\
\
Có\ thể\ dùng\ thường\ xuyên\ trong\ ngày\ hoặc\ dùng\ khai\ vị\ trong\ các\ bữa\ tiệc\.",https://vidas.vn/static/media/images/shop/dot-mang-tay-kho-1570001620.jpg,1950,Ogranic Farm,"[{'url': 'https://vidas.vn/static/media/images/shop/dot-mang-tay-kho-1570001620.jpg', 'path': 'full/980833e899d0c99be5bf4f9bf022546b05a7b6a1.jpg', 'checksum': 'd1a7c8a51a715e3e419ef3bcfbe06489', 'status': 'uptodate'}]"
12249,Nấm Mộc Nhĩ Đen Thịnh Phát,Nấm các loại,15000,gam,16/08/2019,Còn hàng,Trới-Hoành Bồ - Quảng Ninh,,"https://vidas.vn/static/media/images/shop/p206-1565942123.jpg,https://vidas.vn/static/media/images/shop/p207-1565942129.jpg,https://vidas.vn/static/media/images/shop/p208-1565942135.jpg,https://vidas.vn/static/media/images/shop/p209-1565942143.jpg,https://vidas.vn/static/media/images/shop/p210-1565942148.jpg",1833,Nấm linh chi Thịnh Phát,"[{'url': 'https://vidas.vn/static/media/images/shop/p206-1565942123.jpg', 'path': 'full/f4458a7a576dcf1d3b29be86eeaa06942d8ec4de.jpg', 'checksum': 'd913c3cc3e12ed7df561c26b46ff2888', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p207-1565942129.jpg', 'path': 'full/d3622108cd554cf2d8be060c4d43cb219ab9c8d4.jpg', 'checksum': 'e7f9db3a741a1288eb48ab4cae17d874', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p208-1565942135.jpg', 'path': 'full/7a74bc29bfc76fc9c3594e26d6f69a0692c45a24.jpg', 'checksum': '25780abf49af5c707411f09082df513d', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p209-1565942143.jpg', 'path': 'full/a7bbd2e559d570ca46b2466d75ab2b5afab3f3a3.jpg', 'checksum': '45fc35a16978090c1038f7e91b5af398', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p210-1565942148.jpg', 'path': 'full/254996f28ffb7563047e183d4766d1d2c95534e9.jpg', 'checksum': '210ddcb6599f807ec79b57def9c31273', 'status': 'uptodate'}]"
12246,Nấm linh chi Thịnh Phát,Nấm các loại,250000,gam,16/08/2019,Còn hàng,Trới-Hoành Bồ - Quảng Ninh,,"https://vidas.vn/static/media/images/shop/p197-1565940804.jpg,https://vidas.vn/static/media/images/shop/p198-1565940823.jpg,https://vidas.vn/static/media/images/shop/p199-1565940831.jpg,https://vidas.vn/static/media/images/shop/p200-1565940837.jpg",1833,Nấm linh chi Thịnh Phát,"[{'url': 'https://vidas.vn/static/media/images/shop/p197-1565940804.jpg', 'path': 'full/313078df09160a77da4ee08c9e17f5984b089675.jpg', 'checksum': '629a386d6f7a5b285fa45a475d44aea7', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p198-1565940823.jpg', 'path': 'full/acad6100fee514134b87dc2acdaeb1bc6ca8f1c6.jpg', 'checksum': '8e1f874e3cca159f06ac54817cfc950d', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p199-1565940831.jpg', 'path': 'full/32dc22d698df73637e28ec255c8d62be0d878d62.jpg', 'checksum': 'bc6a042191f326ad112d547ad1522b73', 'status': 'uptodate'}, {'url': 'https://vidas.vn/static/media/images/shop/p200-1565940837.jpg', 'path': 'full/65e2902e3124c143d3f8479cd5c8d0806ca649b8.jpg', 'checksum': '2da124a8c3d1008f5b4bd67bb14ecef8', 'status': 'uptodate'}]"
12226,Tỏi mồ côi- 500 gram,Rau củ quả khô,750000,gram,08/08/2019,Còn hàng,An Vĩnh-Lý Sơn - Quảng Ngãi,Được\ sản\ xuất\ trực\ tiếp\ trên\ đất\ bazan\ đặc\ trưng\ của\ Lý\ Sơn,https://vidas.vn/static/media/images/product/10216859251583227130.jpg,1804,SIÊU THỊ ĐẶC SẢN LÝ SƠN XANH,"[{'url': 'https://vidas.vn/static/media/images/product/10216859251583227130.jpg', 'path': 'full/7e321519aa1546aefeb595a8ff020b005651d44b.jpg', 'checksum': '6d1ab4c8064baf4d1989ba622973f9ee', 'status': 'uptodate'}]"
